DATE,CLOSE,ARIMA,SARIMAX,HOLT_WINTER,SES,PROPHET,VAR
2020-11-03,307.8,307.8,307.8,307.8,307.8,307.8,307.8
2020-11-04,307.8,307.776934996477,306.39731813558825,307.1666007369799,307.74433510250043,308.3409761186097,307.262428826553
2020-11-05,307.8,307.7552630991944,307.50130763344316,304.7673827257287,307.68867020500085,307.95314974489116,306.7307722832033
2020-11-08,307.8,307.7326462396835,306.5575931410043,304.50059523156983,307.63300530750126,305.70395173695283,305.91900639793903
2020-11-09,307.8,307.7106703604417,307.3387240821052,302.60100449871595,307.5773404100017,303.4482774065785,305.2436364600061
2020-11-10,307.8,307.6882596958793,306.6221230056401,305.5512827384557,307.5216755125021,302.0815048459029,304.5664591396254
2020-11-11,307.8,307.6661439519005,307.24349202426373,304.5265266636159,307.4660106150025,301.1336829591915,303.8386260398722
2020-11-12,307.8,307.64382815942304,306.6392747616927,301.85177668603916,307.41034571750293,298.6395655540283,303.0985104728767
2020-11-15,307.8,307.6216480624651,307.1815878862113,305.2277176149293,307.35468082000335,299.13520741573177,302.3850629008306
2020-11-16,307.8,307.5993759214571,306.63298214078134,305.7524232860472,307.29901592250377,298.7020467851095,301.7253607666275
2020-11-17,307.8,307.5771662151351,307.1361755908754,307.6524176946613,307.2433510250042,296.40751452027365,301.04004847177947
2020-11-19,307.9,307.554914158547,306.6150884064514,310.05249010327105,307.1876861275046,294.10650593299886,300.42690597519635
2020-11-22,307.9,307.53269082869963,307.0989240471828,317.877570516553,307.132021230005,292.6943991154194,299.9489682156416
2020-11-23,307.9,307.51044801312736,306.5914540276694,319.70191311213,307.07635633250544,291.7012429717988,299.59305461384554
2020-11-24,307.9,307.4882184149778,307.0657107343009,324.97628157201257,307.02069143500586,289.1617913097295,299.1957446201224
2020-11-25,307.9,307.4659798512771,306.56497897338187,323.35051387218493,306.9650265375063,289.61209891452216,298.782513372659
2020-11-26,307.9,307.4437473690273,307.0344956819707,325.1498674262384,306.9093616400067,289.13360402698873,298.43756820892764
2020-11-29,307.9,307.4215107616496,306.5370982515957,324.99926580540483,306.8536967425071,286.7937375052436,298.07429234940895
2020-11-30,307.9,307.3992769524002,307.00426944019136,316.97365466628736,306.79803184500753,284.44739466105955,297.67067636281706
2020-12-01,307.9,307.37704124514374,306.5085219554249,327.27429211366893,306.74236694750795,282.9899535865728,297.24700415275436
2020-12-02,307.9,307.3548068253304,306.9745324971197,331.7749005054092,306.68670205000836,281.9514631860465,296.85645157439734
2020-12-03,307.9,307.3325715322275,306.47960146425413,321.9991352890911,306.6310371525088,279.36667726707077,296.4396335419798
2020-12-06,307.9,307.31033683148837,306.94503767649,320.92382259760603,306.5753722550092,279.77165061495504,295.9498170425
2020-12-07,307.9,307.2881017289411,306.4505106531283,317.9483085993488,306.5197073575096,279.2478214705104,295.45213647144516
2020-12-08,307.9,307.26586689894555,306.91566266667536,314.2238288874908,306.46404246001003,276.86262069185597,294.92780817989774
2020-12-09,307.9,307.2436318840746,306.42133556161735,306.073841252958,306.40837756251045,274.47094359076704,294.3773489288622
2020-12-10,307.9,307.22139699460706,306.8863469435227,305.549409579414,306.35271266501087,272.96816825937043,293.83109848305077
2020-12-13,307.9,307.19916202007676,306.3921187651677,304.42458169533535,306.2970477675113,271.8843436019349,293.3008787850075
2020-12-14,307.9,307.17692710324565,306.85706055752377,304.20012809307036,306.2413828700117,269.25422342605333,292.7690531910985
2020-12-15,307.9,307.1546921472764,306.3628813316277,304.7509351975288,306.1857179725121,269.61386251703357,292.23189029010274
2020-12-17,307.9,307.13245721785506,306.82778868859424,303.90128583025495,306.13005307501254,269.0446991156852,291.7129531809572
2020-12-20,307.9,307.11022227042594,306.33363368611987,304.75221339477065,306.07438817751296,266.6141640801287,291.19600001489823
2020-12-21,307.9,307.0879873352117,306.7985240032281,305.02799303504275,306.0187232800134,264.17715272213053,290.67374518629373
