,FILE_NAME,PFE_ARIMA,PFE_SARIMAX,PFE_VAR,PFE_PROPHET,PFE_SES,PFE_HOLT_WINTER
120.1,APEXFOODS_100_200.csv,0.2530976564931974,0.23249947737574236,0.27995494091725787,0.2775581297240772,0.24697357462395692,0.24767274966873867
106.9,APEXTANRY_100_200.csv,0.07923893888768307,0.08720201373638806,0.08885455761187283,0.10101900569440926,0.08995964482572619,0.10159527267930482
110.5,ATLASBANG_100_200.csv,0.07481442684051344,0.1365572496815885,0.08286342357348032,0.09367923002034682,0.13840734626736334,0.07535788022754453
107.6,CONFIDCEM_100_200.csv,0.12887997160828069,0.1322659175120312,0.13285151808134413,0.13305975485381982,0.2415967056809953,0.13938484851423608
107.3,DSHGARME_100_200.csv,0.2704898061491828,0.22018905452348583,0.2842174516298064,0.2050262052097762,0.6970312553836544,0.28366198612355076
164.5,JAMUNAOIL_100_200.csv,0.11779698675086366,0.1174312317853158,0.11694755425021826,0.1398406953552551,0.10727051279067382,0.1187529586358041
195.2,MPETROLEUM_100_200.csv,0.1619955022609429,0.15822794741298501,0.16141175809350225,0.16860542187311878,0.16079459941546223,0.1622108774495107
104.1,NTLTUBES_100_200.csv,0.10051124158638994,0.09614442535636913,0.10716945348306003,0.13800551994597207,0.2316177551677559,0.12218563429483183
117.6,RANFOUNDRY_100_200.csv,0.1601215321089679,0.15000800105454046,0.1777555612568729,0.16834730252147695,0.21652931908040102,0.1560768558833282
166.4,SINGERBD_100_200.csv,0.07844057729464099,0.0764376166571118,0.08487763691772758,0.06614843401869831,0.06614183520825427,0.09356345381942446
