,FILE_NAME,PFE_ARIMA,PFE_SARIMAX,PFE_VAR,PFE_PROPHET,PFE_SES,PFE_HOLT_WINTER
69.7,ACMELAB_50_100.csv,0.1763986223598442,0.17900929330957419,0.17328390418194214,0.198965916979598,0.17868049366717598,0.16840234240049465
58.9,BBSCABLES_50_100.csv,0.23520450569710277,0.26377636453604897,0.2117071434891074,0.21569063850634143,0.20189209100046035,0.2540758371047731
53.7,BSRMLTD_50_100.csv,0.26384640331578657,0.22558645824876017,0.32209523645694554,0.24493324897095253,0.4564033747564783,0.24509696312262416
55.18,DOREENPWR_50_100.csv,0.1595128852241539,0.16100844546761886,0.1796258020458075,0.17406456426529582,0.17497631598921343,0.18893173416621442
68.64,MEGHNACEM_50_100.csv,0.17232404901503165,0.1538755354370791,0.19138266674752502,0.13829483147363678,0.16578331102222957,0.17982636696700513
76.8,MJLBD_50_100.csv,0.22517832705857213,0.23142280657392827,0.2155256833915148,0.24817790063988454,0.13934585346434705,0.23601070520056422
64.7,NPOLYMAR_50_100.csv,0.38365668150051374,0.3761348001090133,0.3794600350754595,0.372290617116222,0.4706403134452006,0.385799653403573
72.7,ORIONINFU_50_100.csv,0.18070440382264283,0.1579227366424569,0.18618186895798006,0.1825105578649191,0.28872494815500527,0.19910741375156377
61.3,SAMORITA_50_100.csv,0.12251547856735022,0.20195292088809103,0.12302120667178609,0.12552175472029878,0.4739512145456785,0.162674912196318
73.7,SPCL_50_100.csv,0.11738934358797608,0.13333661481895748,0.11273094921799261,0.13520961943590293,0.14266338748106686,0.1659580058084609
