,Range,MEAN_ARIMA,MEAN_SARIMAX,MEAN_VAR,MEAN_PROPHET,MEAN_SES,MEAN_HOLT_WINTER
0,MAPE_Error_range_(200-300).csv,2.2951913821509105,2.0200943941258425,2.467518445571265,2.5529896419770717,4.078154664321592,2.324845749063253
1,MAPE_Error_range_(300-400).csv,4.867619572274321,4.611451526677307,5.3200088992156065,6.110175607339679,5.214766530476917,5.571559326641354
2,MAPE_Error_range_(50-100).csv,2.374395211255548,2.480636433684311,2.4786271901597425,2.353629794053425,4.210527294735046,2.7454146361286798
3,MAPE_Error_range_0-50.csv,4.268408643693908,4.629509167963835,4.2039451204905065,5.850303046581968,9.180853685930828,4.6190539049008645
4,MAPE_Error_range_100-200.csv,2.701091094339694,2.5409258464798876,3.054720250970817,2.894810602571188,5.004282395668602,2.9308444495614254
5,MAPE_Error_range_400+.csv,2.3362887900250247,2.4572555561103444,2.258769009142685,2.239257859803616,4.115185997969563,2.32886350123927
