,FILE_NAME,MAPE_ARIMA,MAPE_SARIMAX,MAPE_VAR,MAPE_PROPHET,MAPE_SES,MAPE_HOLT_WINTER
14.9,ACTIVEFINE_0_50.csv,2.2064249100515085,4.390324348322975,2.2786549179198032,2.36409791190924,7.235330630523029,2.808719735200901
2.7,CNATEX_0_50.csv,7.61358004003245,9.053891011537193,7.372661982304613,13.739918466875142,13.185698787150505,7.216376578710672
5.8,DELTASPINN_0_50.csv,4.7417554146465655,4.764367428977366,4.749668628875513,6.147512455219499,9.32889998007893,4.796780615115652
11.1,EMERALDOIL_0_50.csv,5.6364104851353485,6.329028325569437,4.402086910789869,3.6192878861671636,3.524767769260738,4.9815894757516705
6.6,KEYACOSMET_0_50.csv,3.47352051658918,3.3032917519498337,3.884883510409624,8.558980716875835,10.332440920703483,6.0683010488147735
6.4,POPULAR1MF_0_50.csv,6.767628690751123,5.989346040697175,7.667659512407711,9.230492019375967,13.735357156923214,7.178014338120496
17.4,PRIMEBANK_0_50.csv,0.67422156422943,0.7088796291156886,0.6352998141910317,0.7581209656116152,0.664599116341329,0.6593540557935187
12.64,SAIFPOWER_0_50.csv,6.214831610723343,5.234699055749094,6.467799449083472,6.418166087071819,9.928453135838629,5.501483641173664
12.3,SOUTHEASTB_0_50.csv,1.4952177050423106,1.1957399386660204,1.6200231256353435,1.6013737349450798,2.9925600509080055,1.6298978636734087
1.6,UNITEDAIR_0_50.csv,3.8604954997378282,5.325524149053563,2.9607133532880856,6.065080221768318,20.880429311580404,5.3500216966538865
