DATE,CLOSE,ARIMA,SARIMAX,HOLT_WINTER,SES,PROPHET,VAR
2020-11-01,1350.9,1350.9,1350.9,1350.9,1350.9,1350.9,1350.9
2020-11-02,1356.3,1350.912614739226,1351.739094569465,1369.286881890507,1347.2647939376077,1347.7862577328099,1353.9077070613616
2020-11-03,1361.3,1350.925229478452,1350.908227687701,1373.8058776134326,1343.6295878752153,1345.4782335918958,1353.3825603560015
2020-11-04,1343.7,1350.9378442176778,1351.7473222571657,1368.9095858960964,1339.994381812823,1335.674441926583,1352.126041068632
2020-11-05,1330.3,1350.9504589569037,1350.9164553754017,1358.4887797216113,1336.3591757504305,1332.4321489818733,1351.052787684417
2020-11-08,1320.3,1350.9630736961296,1351.7555499448665,1355.3156149128663,1332.723969688038,1332.0540564107146,1348.023992304435
2020-11-09,1320.8,1350.9756884353556,1350.9246830631025,1355.8205158600776,1329.0887636256457,1334.5380431855704,1346.6490700897743
2020-11-10,1323.1,1350.9883031745815,1351.7637776325673,1337.0116027836666,1325.4535575632533,1331.3800159105656,1350.6717025040948
2020-11-11,1331.7,1351.0009179138074,1350.9329107508033,1330.7596615389582,1321.818351500861,1328.2146078011287,1351.8322000873568
2020-11-12,1317.3,1351.0135326530333,1351.7720053202681,1328.8478751956102,1318.1831454384685,1325.8549178179715,1350.9140387259865
2020-11-15,1345.4,1351.0261473922592,1350.9411384385041,1325.7416943007197,1314.547939376076,1315.9994603104012,1349.8416136394098
2020-11-16,1332.2,1351.038762131485,1351.780233007969,1339.502825584071,1310.9127333136837,1312.7055015234141,1349.2150700603129
2020-11-17,1329.0,1351.051376870711,1350.949366126205,1345.0946773635267,1307.2775272512913,1312.2757431100058,1348.9530277091746
2020-11-18,1337.2,1351.063991609937,1351.7884606956698,1346.0785198092196,1303.642321188899,1314.7080640425884,1349.313240968823
2020-11-19,1330.5,1351.0766063491628,1350.9575938139058,1346.928759107882,1300.0071151265065,1311.498370925324,1349.6570634018553
2020-11-22,1335.5,1351.0892210883887,1351.7966883833706,1350.084898162444,1296.371909064114,1308.2812969736149,1349.491129097387
2020-11-23,1336.8,1351.1018358276147,1350.9658215016066,1350.7775063219817,1292.7367030017217,1305.8699411481912,1349.3670939877468
2020-11-24,1332.5,1351.1144505668406,1351.8049160710714,1349.9637296524052,1289.1014969393293,1295.9628177983693,1349.1986306598756
2020-11-25,1330.0,1351.1270653060665,1350.9740491893074,1345.689117977986,1285.466290876937,1292.6171931691324,1348.9720176058772
2020-11-26,1324.9,1351.1396800452924,1351.8131437587722,1345.5381645673435,1281.8310848145445,1292.135768913449,1348.916499863507
2020-11-29,1341.5,1351.1522947845183,1350.9822768770082,1343.2651287957808,1278.195878752152,1294.5164240037836,1348.9341195344227
2020-11-30,1327.5,1351.1649095237442,1351.821371446473,1345.8626579091317,1274.5606726897597,1291.2550650442665,1348.877360772505
