DATE,CLOSE,ARIMA,SARIMAX,HOLT_WINTER,SES,PROPHET,VAR
2020-11-01,1110.91,1110.91,1110.91,1110.91,1110.91,1110.91,1110.91
2020-11-02,1112.22,1109.9004734025132,1108.8524921256615,1111.7462155199319,1109.7068931946412,1112.2556014921704,1113.6116871390998
2020-11-03,1115.55,1109.969066990525,1108.0597127423707,1110.127491611093,1108.5037863892824,1114.7969285359627,1113.0354195323193
2020-11-04,1114.85,1109.5162573302036,1107.567899967032,1110.5754683938528,1107.3006795839235,1111.154147873046,1112.1886435278402
2020-11-05,1120.47,1109.3156100456815,1107.2850862563196,1112.3598395627855,1106.0975727785647,1112.068777670411,1110.4263865099172
2020-11-08,1116.74,1108.9930113464493,1106.644275540997,1113.6619533964665,1104.8944659732058,1111.6941019175927,1109.608990724022
2020-11-09,1121.16,1108.7293911030738,1106.3850381557108,1109.4299044437757,1103.691359167847,1115.6907217872274,1110.3755516555404
2020-11-10,1112.8,1108.4372475476603,1105.8700748613405,1108.1941676171916,1102.488252362488,1117.0593104795155,1109.8885225258416
2020-11-11,1115.53,1108.1588985095464,1105.6809608284645,1108.716079555164,1101.2851455571292,1118.4317303716666,1108.8910384924118
2020-11-12,1117.44,1107.8738781316079,1105.199138748968,1113.7936588610723,1100.0820387517704,1120.9998758154418,1108.1753509709931
2020-11-15,1114.6,1107.59208416414,1105.0411582127037,1115.5793519738777,1098.8789319464115,1117.3839135524913,1107.6044416625361
2020-11-16,1122.97,1107.308729831768,1104.5876802984333,1117.9828348988501,1097.6758251410527,1118.3253617498176,1107.450646464511
2020-11-17,1126.95,1107.0261301270716,1104.4506112125298,1116.4632765525214,1096.4727183356938,1117.977504396972,1106.996583932401
2020-11-18,1126.55,1106.743165467404,1104.0125232892306,1115.209340610892,1095.269611530335,1122.0009426665592,1106.2281006336827
2020-11-19,1128.88,1106.4603773081953,1103.887602577693,1111.811509105823,1094.066504724976,1123.3963497588054,1105.6567889751782
2020-11-22,1123.93,1106.1775037893822,1103.459100741163,1102.6019464999677,1092.8633979196172,1124.795588050906,1105.1859616666125
2020-11-23,1107.69,1105.8946715523998,1103.3415731950404,1102.3292656346143,1091.6602911142584,1127.390551894639,1104.7469134528474
2020-11-24,1112.83,1105.6118193505927,1102.918773181489,1099.8810350020838,1090.4571843088995,1123.8014080316614,1104.244414042399
2020-11-25,1117.24,1105.3289768042252,1102.8056762585488,1103.3017585779317,1089.2540775035407,1124.7696746289585,1103.6369748197717
2020-11-26,1118.85,1105.0461295882692,1102.386319044434,1100.844607911329,1088.0509706981818,1124.4486356760674,1103.0913709790098
2020-11-29,1120.92,1104.7632846306317,1102.2758907384693,1094.8523752414137,1086.847863892823,1128.4988923456335,1102.6068658705617
2020-11-30,1113.97,1104.4804385808204,1101.8586020527146,1097.2579122354134,1085.644757087464,1129.921117837852,1102.1048525833605
