DATE,CLOSE,ARIMA,SARIMAX,HOLT_WINTER,SES,PROPHET,VAR
2020-11-01,1168.8,1168.8,1168.8,1168.8,1168.8,1168.8,1168.8
2020-11-02,1158.6,1169.1890272557425,1169.2094426535741,1172.5660020871853,1170.0943417426179,1169.1895495592398,1155.0268634402153
2020-11-03,1156.1,1169.578054511485,1169.7772696077627,1177.3867832184653,1171.3886834852358,1170.037151199321,1145.989857677376
2020-11-04,1162.7,1169.9670817672277,1169.9530697949695,1177.1693423990546,1172.6830252278537,1170.2171135440465,1148.9581768694616
2020-11-05,1165.1,1170.3561090229703,1170.5322897637468,1172.8803865389998,1173.9773669704716,1170.7112341892523,1151.8962700950206
2020-11-08,1167.2,1170.7451362787128,1170.7366788179656,1176.8870583740656,1175.2717087130895,1169.3019280997514,1154.8049799170658
2020-11-09,1170.5,1171.1341635344554,1171.3145047192004,1177.7000588163967,1176.5660504557075,1170.8774792566364,1150.570282851072
2020-11-10,1168.7,1171.523190790198,1171.5153955937872,1179.045343752002,1177.8603921983254,1171.2666792701305,1149.7150896949063
2020-11-11,1168.8,1171.9122180459406,1172.0933920753628,1180.817193982993,1179.1547339409433,1171.655821025927,1153.794343493072
2020-11-12,1166.0,1172.3012453016831,1172.2947109928214,1175.5290672023032,1180.4490756835612,1172.5030148625674,1158.6877812540206
2020-11-15,1167.4,1172.6902725574257,1172.8726866019128,1175.4893900577927,1181.7434174261791,1172.682569403842,1162.6384937236026
2020-11-16,1167.4,1173.0792998131683,1173.073953143359,1176.5022010065275,1183.037759168797,1173.1762822456028,1162.360610317974
2020-11-17,1037.4,1173.4683270689109,1173.6519313064412,1178.3579767406911,1184.332100911415,1171.7665683526534,1157.5984489120199
2020-11-18,1042.6,1173.8573543246534,1173.8532042567,1176.6513812282794,1185.6264426540329,1173.3417117060862,1154.8858717372857
2020-11-19,1065.1,1174.246381580396,1174.4311821072718,1171.8981335127357,1186.9207843966508,1173.730503916129,1153.3383381013941
2020-11-22,1063.2,1174.6354088361386,1174.632454273338,1166.7432845146143,1188.2151261392687,1174.1192378684682,1156.6552792334603
2020-11-23,1053.8,1175.0244360918812,1175.2104321621491,1167.8545359862944,1189.5094678818866,1174.966023901655,1159.4126832970412
2020-11-24,1050.5,1175.4134633476237,1175.4117044241705,1167.7085401987963,1190.8038096245045,1175.145170639484,1159.3799819818294
2020-11-25,1051.8,1175.8024906033663,1175.9896823083025,1167.1710341970272,1192.0981513671225,1175.6384756777952,1159.1782449798327
2020-11-26,1052.4,1176.191517859109,1176.1909545585827,1170.3641491196329,1193.3924931097404,1174.2283539813934,1159.5193210323478
2020-11-29,1050.6,1176.5805451148515,1176.7689324432872,1168.5263028111556,1194.6868348523583,1175.8030895313802,1160.5492509224048
2020-11-30,1051.8,1176.969572370594,1176.970204695004,1170.001532902558,1195.9811765949762,1176.1914739379747,1161.5530393726585
