DATE,CLOSE,ARIMA,SARIMAX,HOLT_WINTER,SES,PROPHET,VAR
2020-11-01,164.5,164.5,164.5,164.5,164.5,164.5,164.5
2020-11-02,167.3,164.50272454264544,164.5,165.16111223796028,164.42782120587654,164.7337758235641,164.35421223724867
2020-11-03,166.0,164.50544908529088,164.5,165.73333367740676,164.35564241175308,165.47340084317614,164.5341144629098
2020-11-04,164.3,164.50817362793632,164.5,165.57777886804033,164.28346361762962,165.27795342937142,164.85965089017466
2020-11-05,164.6,164.51089817058175,164.5,165.22222646287125,164.21128482350616,165.3516364515786,164.8735532412578
2020-11-08,166.1,164.5136227132272,164.5,165.22778819419128,164.1391060293827,165.4053840060516,164.68024226395121
2020-11-09,164.2,164.51634725587263,164.5,164.67780382216012,164.06692723525924,165.4884789514763,164.60436427800434
2020-11-10,163.9,164.51907179851807,164.5,164.005595232246,163.99474844113578,165.72469167429745,164.5559169234596
2020-11-11,161.7,164.5217963411635,164.5,163.83893190373726,163.92256964701232,165.96131054688897,164.52581473172933
2020-11-12,160.4,164.52452088380895,164.5,164.68338851733677,163.85039085288886,166.70377861552888,164.5332792057256
2020-11-15,159.3,164.52724542645439,164.5,164.92228206735226,163.7782120587654,166.51117425075185,164.53655888238035
2020-11-16,159.7,164.52996996909982,164.5,165.000060541694,163.70603326464195,166.58770032198606,164.51965395108277
2020-11-17,157.7,164.53269451174526,164.5,165.26117311439774,163.6338544705185,166.64429092548744,164.49038120413405
2020-11-18,159.4,164.5354190543907,164.5,165.2722737730434,163.56167567639503,166.73022891993767,164.47612234455528
2020-11-19,160.3,164.53814359703614,164.5,164.61115740008336,163.48949688227157,166.9692846917848,164.45730306058928
2020-11-22,157.6,164.54086813968158,164.5,164.03220264777804,163.4173180881481,167.20874661340326,164.43469551369964
2020-11-23,158.9,164.54359268232702,164.5,163.79010112004715,163.34513929402465,167.95405773107066,164.41722216314216
2020-11-24,158.8,164.54631722497246,164.5,164.02168195070985,163.2729604999012,167.76429641532067,164.4009642801349
2020-11-25,159.8,164.5490417676179,164.5,165.23220764137562,163.20078170577773,167.84366553558255,164.38415965589203
2020-11-26,159.1,164.55176631026333,164.5,165.0585133031796,163.12860291165427,167.90309918810988,164.3664375241813
2020-11-29,157.2,164.55449085290877,164.5,164.69008965905175,163.0564241175308,167.99188023158922,164.34918225155582
2020-11-30,157.1,164.5572153955542,164.5,164.53219824206423,162.98424532340735,168.23377905246468,164.33119094883386
