DATE,CLOSE,ARIMA,SARIMAX,HOLT_WINTER,SES,PROPHET,VAR
2020-11-01,120.1,120.1,120.1,120.1,120.1,120.1,120.1
2020-11-02,124.7,119.98220523034342,120.09850735744756,119.84117594986705,120.01697422368301,119.94236113809195,117.13981677031572
2020-11-03,121.3,119.86441046068686,120.10165591534297,118.79999515137528,119.93394844736602,119.9394070061552,116.96311848746046
2020-11-04,120.3,119.74661569103029,120.10248255448973,119.28234895720658,119.85092267104903,119.02605133163435,118.82778077449633
2020-11-05,120.2,119.62882092137372,120.1007388542261,118.32941353246618,119.76789689473205,118.20267834684586,118.429571042433
2020-11-08,120.4,119.51102615171715,120.10028105387876,117.73530058308685,119.68487111841506,117.67847390080463,118.92976330252623
2020-11-09,120.8,119.39323138206058,120.10124673109047,118.12941361406308,119.60184534209807,118.60383503175932,117.49023801052877
2020-11-10,120.1,119.27543661240401,120.10150026512505,118.50163948124099,119.51881956578109,118.44391892576068,117.70121280393072
2020-11-11,120.2,119.15764184274744,120.10096546422109,119.6238643129394,119.4357937894641,118.28362327908351,117.29888544888965
2020-11-12,120.3,119.03984707309087,120.10082505474551,118.51830941829512,119.35276801314711,118.27801236237917,117.24216060063871
2020-11-15,120.2,118.9220523034343,120.10112123239516,118.83497825850847,119.26974223683013,117.3619999030866,116.94330762739119
2020-11-16,124.8,118.80425753377773,120.10119899245157,117.54053449561428,119.18671646051314,116.53597013352679,116.66440284952785
2020-11-17,125.2,118.68646276412116,120.10103496655054,117.94053434851858,119.10369068419615,116.00910890271591,116.70384207911067
2020-11-19,137.7,118.56866799446459,120.10099190231753,118.00719830155319,119.02066490787917,116.93181324889866,116.52352716466879
2020-11-22,135.3,118.45087322480802,120.10108274136715,119.07941907929512,118.93763913156218,116.76924035813026,116.30387933423548
2020-11-23,127.1,118.33307845515145,120.10110659073469,119.39608727612773,118.85461335524519,116.6062879266795,116.1200353047638
2020-11-24,139.3,118.21528368549488,120.10105628323518,119.75164606260037,118.7715875789282,116.59802022520252,115.89737980340156
2020-11-25,135.5,118.09748891583831,120.10104307523652,118.93497677812395,118.68856180261122,115.67935098114027,115.74793431962424
2020-11-26,129.6,117.97969414618174,120.10107093599153,119.30164166655818,118.60553602629423,114.85066442681035,115.47853038535509
2020-11-29,126.7,117.86189937652517,120.10107825070243,119.02386807124368,118.52251024997724,114.32114641122463,115.33286172777778
2020-11-30,132.4,117.7441046068686,120.10106282116057,118.42387369217924,118.43948447366026,115.24119397263765,115.18135570172012
