DATE,CLOSE,ARIMA,SARIMAX,HOLT_WINTER,SES,PROPHET,VAR
2020-11-01,107.3,107.3,107.3,107.3,107.3,107.3,107.3
2020-11-02,111.6,107.0712450327322,107.3,105.51072238048242,105.46867702742159,107.86047648347561,106.56873107165083
2020-11-03,113.0,106.84249006546439,107.3,106.08747029366995,103.63735405484319,107.10296380614332,107.28674556385764
2020-11-04,113.1,106.61373509819659,107.3,106.31496378599925,101.80603108226478,106.21446656855994,106.91802606017417
2020-11-05,113.5,106.38498013092878,107.3,104.94056895184485,99.97470810968638,106.99172705475685,105.59179362076901
2020-11-08,114.8,106.15622516366098,107.3,104.25190874276937,98.14338513710797,106.97333575513778,105.1038995774479
2020-11-09,114.5,105.92747019639317,107.3,103.40514294565888,96.31206216452956,107.55836522125654,105.54819834903917
2020-11-10,113.7,105.69871522912537,107.3,105.23382779874018,94.48073919195116,108.12229786086304,104.81568820675781
2020-11-11,111.2,105.46996026185757,107.3,104.29958437789944,92.64941621937275,108.68680652647117,104.477719451963
2020-11-12,110.3,105.24120529458976,107.3,104.36208663862062,90.81809324679435,107.93332603126818,104.46186936054569
2020-11-15,109.4,105.01245032732196,107.3,105.40950490186377,88.98677027421594,107.04886097581141,104.38603357738381
2020-11-16,107.8,104.78369536005415,107.3,106.19177129981159,87.15544730163754,107.83015364413286,104.14252980511606
2020-11-17,110.1,104.55494039278635,107.3,104.99734904776899,85.32412432905913,107.81579452663978,103.93307028515076
2020-11-19,117.5,104.32618542551855,107.3,104.04494598839877,83.49280135648073,108.40485617488378,103.69990560985872
2020-11-22,118.1,104.09743045825074,107.3,104.06737165217669,81.66147838390232,108.97282099661348,103.20026933128526
2020-11-23,109.8,103.86867549098294,107.3,101.85393496986002,79.83015541132391,109.54136184434364,102.94975049735056
2020-11-24,113.4,103.63992052371513,107.3,101.9191710192658,77.99883243874551,108.79191353126419,102.67450880023219
2020-11-25,116.2,103.41116555644733,107.3,102.07627372847064,76.1675094661671,107.9114806579364,102.41770075123858
2020-11-26,115.2,103.18241058917953,107.3,102.43606477634243,74.3361864935887,108.69680550838501,102.11498637733537
2020-11-29,112.4,102.95365562191172,107.3,102.7656626649284,72.5048635210103,108.68647857302,101.9157786461643
2020-11-30,114.7,102.72490065464392,107.3,102.39917605074504,70.67354054843189,109.27957240339151,101.70301407817259
