DATE,CLOSE,ARIMA,SARIMAX,HOLT_WINTER,SES,PROPHET,VAR
2020-11-01,110.5,110.5,110.5,110.5,110.5,110.5,110.5
2020-11-02,109.4,110.3879355220284,110.76949120655102,109.61052067136495,110.25020074422075,110.6320225826634,110.5428731627052
2020-11-03,109.5,110.27965375306047,111.00649095670757,110.45266731937858,110.0004014884415,110.49554758393658,110.76316875077087
2020-11-04,109.5,110.17484002195958,111.21491661293999,109.80003961913059,109.75060223266225,109.8345496008662,110.76114612252643
2020-11-05,109.6,110.07320583404736,111.3982132372918,108.4895295452909,109.500802976883,109.56877365198724,110.39220266856071
2020-11-08,109.4,109.97448669357003,111.55941053471713,109.12639787723883,109.25100372110374,109.3463584641676,110.42759007454559
2020-11-09,109.4,109.87844010730682,111.70117293099213,109.00009859426932,109.00120446532449,109.56686424576517,110.42371003832412
2020-11-10,109.4,109.78484375425141,111.82584361293665,109.16320978620804,108.75140520954524,109.69570999682891,110.351361293376
2020-11-11,109.4,109.69349380755175,111.93548325888592,107.89999187376122,108.50160595376599,109.82402627599289,110.39052952650535
2020-11-12,109.4,109.60420339604205,112.03190409958712,108.95791181173111,108.25180669798674,109.68384497376601,110.36274690946446
2020-11-15,109.5,109.51680119375501,112.11669987251244,108.49289662473353,108.00200744220749,109.01914068719447,110.27712781534262
2020-11-16,109.5,109.43113012676775,112.19127216470271,109.25293641547054,107.75220818642823,108.74965843481357,110.26798652809751
2020-11-17,109.7,109.3470461876211,112.25685357956178,109.64796417411233,107.50240893064898,108.52353694349327,110.23335624037864
2020-11-18,109.5,109.26441734836337,112.31452811052489,110.37298657054023,107.25260967486973,108.74033642158909,110.19823024629657
2020-11-19,110.4,109.18312256401448,112.36524905835687,110.17800770847647,107.00281041909048,108.86547586915093,110.18219847303462
2020-11-22,109.4,109.10305085892868,112.40985478823477,110.17800636713467,106.75301116331123,108.99008584481248,110.13929581809516
2020-11-23,109.4,109.02410048915961,112.44908258706319,110.49300745150062,106.50321190753198,108.8461982390836,110.09538903433877
2020-11-24,110.6,108.94617817450562,112.48358085006966,110.24298370358392,106.25341265175273,108.17778764901152,110.06709588730006
2020-11-25,109.5,108.86919839443863,112.5139197981118,109.85793868946249,106.00361339597347,107.90459909312996,110.03085312107116
2020-11-29,109.6,108.79308274260237,112.54060090284254,110.38784187768795,105.75381414019422,107.67477129830755,109.99849114811165
