FILE_NAME,Rmse_ARIMA,Rmse_SARIMAX,Rmse_VAR,Rmse_PROPHET,Rmse_SES,Rmse_HOLT_WINTER
BATASHOE_400+.csv,11.88434077,11.83730031,13.15751397,2.286658633,6.042693027,11.70916052
BERGERPBL_400+.csv,20.02694128,20.34607013,18.59238611,23.63379951,30.68040831,18.22647279
DSEX_400+.csv,27.24239085,27.3707503,23.6986787,82.79249571,45.40352587,29.64934683
DS30_400+.csv,12.89084146,12.74940101,11.54923628,34.32292643,13.07727716,15.16793216
DSES_400+.csv,12.07757798,14.28183261,12.44118009,7.535253352,22.15589897,11.7280004
EASTRNLUB_400+.csv,21.93570169,22.10627273,20.10295215,21.37751381,81.97651016,30.37253276
LIBRAINFU_400+.csv,54.87504562,54.02930383,56.95822365,49.17838443,110.2262764,51.90248317
LINDEBD_400+.csv,10.35827414,22.94895142,6.568478163,9.135362871,11.86452017,11.74059837
RENATA_400+.csv,83.42576347,83.49056356,72.43802742,82.93301399,93.71743202,80.72702897
