FILE_NAME,Rmse_ARIMA,Rmse_SARIMAX,Rmse_VAR,Rmse_PROPHET,Rmse_SES,Rmse_HOLT_WINTER
ACTIVEFINE_0_50.csv,0.375617176,0.723909551,0.396001188,0.400034139,1.244135051,0.483027415
CNATEX_0_50.csv,0.205911765,0.244019373,0.199615467,0.376904876,0.374777034,0.202428155
DELTASPINN_0_50.csv,0.349281325,0.35297889,0.34931235,0.424138546,0.625392407,0.361589997
EMERALDOIL_0_50.csv,0.671900773,0.744678088,0.555688941,0.456906971,0.43969983,0.634841077
KEYACOSMET_0_50.csv,0.293125575,0.305245163,0.311634293,0.647417204,0.7612979,0.448356944
POPULAR1MF_0_50.csv,0.487831555,0.426810986,0.537925009,0.668975672,0.983338709,0.506552806
PRIMEBANK_0_50.csv,0.171623382,0.174015149,0.166752343,0.189892628,0.170669326,0.150363686
SAIFPOWER_0_50.csv,0.994565013,0.891348392,1.021991674,1.021144273,1.46833095,0.897190822
SOUTHEASTB_0_50.csv,0.219725697,0.191880645,0.233010462,0.23140372,0.402872913,0.237686616
UNITEDAIR_0_50.csv,0.076298833,0.1,0.068173794,0.110017385,0.35601064,0.09333274
