FILE_NAME,Rmse_ARIMA,Rmse_SARIMAX,Rmse_VAR,Rmse_PROPHET,Rmse_SES,Rmse_HOLT_WINTER
ACMELAB_50_100.csv,1.652432939,1.716308331,1.564986439,2.208641214,1.708371785,1.499150162
BBSCABLES_50_100.csv,2.218476978,2.91710561,1.739827718,1.823984394,1.562321336,2.555132171
BSRMLTD_50_100.csv,2.124103486,1.61790576,3.022650386,1.888264954,5.108769272,1.802627252
DOREENPWR_50_100.csv,0.844045953,0.860548125,1.045047186,0.99784328,0.996914262,1.170103141
MEGHNACEM_50_100.csv,1.510632003,1.229907082,1.834401506,1.020743234,1.408083268,1.647965035
MJLBD_50_100.csv,3.263680415,3.482678225,2.954003006,4.149549975,1.062675939,3.620616198
NPOLYMAR_50_100.csv,4.063971492,3.786118101,3.931744389,3.604213349,7.721651129,4.156803564
ORIONINFU_50_100.csv,1.955464199,1.453563249,2.08020247,2.006318862,3.801394329,2.389786907
SAMORITA_50_100.csv,0.676995611,1.993070781,0.68284686,0.695885639,6.609033473,1.22342509
SPCL_50_100.csv,0.888431797,1.165662129,0.813334388,1.215168074,1.345640182,1.729437653
