FILE_NAME,Rmse_ARIMA,Rmse_SARIMAX,Rmse_VAR,Rmse_PROPHET,Rmse_SES,Rmse_HOLT_WINTER
ARAMIT_300_400.csv,7.521520446,7.524587543,7.419475548,13.68081786,13.22645026,11.1365029
GP_300_400.csv,9.823107218,14.33892001,9.139204545,15.19102763,18.70158368,11.58328283
HEIDELBCEM_300_400.csv,7.28031026,7.540819855,25.05230746,10.59044226,7.24230025,8.673681501
JMISMDL_300_400.csv,17.50203208,17.62055072,19.00275722,17.51578296,16.74331028,22.614696
KOHINOOR_300_400.csv,47.21666657,49.07735557,44.63799531,49.52442148,45.11489789,46.73739927
NORTHERN_300_400.csv,8.290543783,9.196879917,11.55972251,11.08990728,8.227769197,15.97295498
RAHIMTEXT_300_400.csv,37.81404564,21.3856468,37.23010646,23.5575391,15.52940128,27.3305336
SONALIANSH_300_400.csv,30.28490634,31.18256806,29.87557287,61.31430517,58.04854246,26.40542038
STANCERAM_300_400.csv,0.492152958,1.121165155,10.36944286,24.3665462,1.113738773,9.675007404
WATACHEM_300_400.csv,25.32651017,25.24101887,19.25230421,20.21251564,28.86611567,37.60754507
